id,title,island,locality,area,price,beds,size,floor,date
,"Flat / Apartment in Gran Via Colon, 112, Gran Via de Colom, Inca",Mallorca,Inca,Gran Via de Colom,156000,2,75,1,2020-09-15
,"Flat / Apartment in calle maria antonia salva, 48, S'Arenal, Llucmajor",Mallorca,Llucmajor,S'Arenal,180000,3,130,3,2020-09-15
,"Penthouse in Sineu, Maria de la Salud",Mallorca,Maria de la Salud,Sineu,189000,3,95,1,2020-09-15
,"Flat / Apartment in Passatge Particular d'Escorca, Rafal Nou - Estadi Balear - Son Malferit, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Nou - Estadi Balear - Son Malferit,150000,3,85,4,2020-09-15
,"Flat / Apartment in paseo Ferrocarril, Manacor Centro, Manacor",Mallorca,Manacor,Manacor Centro,165000,2,80,4,2020-09-15
,"Flat / Apartment in ronda Oest, Porto Cristo, Manacor",Mallorca,Manacor,Porto Cristo,156600,2,67,2,2020-09-15
,"Flat / Apartment in Ferrocarril, Manacor Centro, Manacor",Mallorca,Manacor,Manacor Centro,174070,2,73,1,2020-09-15
,"Flat / Apartment in avenida Pere Mas i Reus, 29, Port d'Alcúdia - Platja d'Alcúdia, Alcúdia",Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,160000,2,65,7,2020-09-15
,"Flat / Apartment in calle de Joan Homs, 11, Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,164000,3,86,1,2020-09-15
,"Flat / Apartment in calle de Berlín, Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,170000,2,77,2,2020-09-15
,"Penthouse in trancadors, S'Arenal, Llucmajor",Mallorca,Llucmajor,S'Arenal,199500,3,140,4,2020-09-15
,"Flat / Apartment in cannes, Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,189000,2,57,1,2020-09-15
,"Penthouse in carretera MILITAR, Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,145000,2,65,4,2020-09-15
,"Flat / Apartment in Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Cotoner,198000,3,69,2,2020-09-15
,"Flat / Apartment in Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Canals - Can Capes,180000,3,90,1,2020-09-15
,"Flat / Apartment in avenida de belgica, NN, Cala d'Or",Mallorca,Cala d'Or,NN,189000,2,86,2,2020-09-15
,"Flat / Apartment in Sa Torre, Llucmajor",Mallorca,Llucmajor,Sa Torre,178500,2,88,1,2020-09-15
,"Penthouse in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,195000,2,63,3,2020-09-15
