area,address,number,price,date,property_type,full_address,lat,long
Town Center,Main Street,,120000,2018-12-03,Second-Hand," Main Street, Town Center",51.8878563321983,-8.600737381727024
Maglin,Maglin Green,2,480000,2020-03-11,New Build,"2 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
Shalimar Court,Shalimar Court,9,220000,2020-03-10,Second-Hand,"9 Shalimar Court, Shalimar Court",51.88896130535807,-8.578969730369383
Westcourt,Westcourt,45,308000,2020-03-06,Second-Hand,"45 Westcourt, Westcourt",51.88681255417706,-8.616295628522487
Old Quarter,Millers Court,30,397619,2020-03-03,New Build,"30 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Beech Park,Beech Park,142,250000,2020-02-28,Second-Hand,"142 Beech Park, Beech Park",51.884462825784524,-8.586660730369518
Old Quarter,Coopers Grange,34,400000,2020-02-27,New Build,"34 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
The Maltings,Distillery Court,30,206000,2020-02-25,Second-Hand,"30 Distillery Court, The Maltings",51.88503727921537,-8.591352822622822
Greenfields,Woodberry,38,485000,2020-02-24,Second-Hand,"38 Woodberry, Greenfields",51.87941701969475,-8.620193493581136
The Maltings,Distillery Court,45,220000,2020-02-24,Second-Hand,"45 Distillery Court, The Maltings",51.88503727921537,-8.591352822622822
An Caislean,Kells,10,212000,2021-05-28,Second-Hand,"10 Kells, An Caislean",51.88419579207018,-8.604721941977742
An Caislean,Newgrange,21,267000,2021-05-26,Second-Hand,"21 Newgrange, An Caislean",51.88419579207018,-8.604721941977742
Heathfield,The Avenue Heathfield,52,385000,2021-05-26,New Build,"52 The Avenue Heathfield, Heathfield",51.88275370396547,-8.57522707085204
Maglin,Maglin Green,14,650000,2021-05-26,New Build,"14 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
Town Center,Chapel Lane Row,2a,450000,2021-05-25,Second-Hand,"2a Chapel Lane Row, Town Center",51.8878563321983,-8.600737381727024
Old Quarter,Coopers Grange,107,520000,2021-05-24,Second-Hand,"107 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Heathfield,The Avenue,49,385000,2021-05-20,New Build,"49 The Avenue, Heathfield",51.88275370396547,-8.57522707085204
