date,daily_cases,country
"8 Jun
,1
,0
,0
,2
,-1
,4
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",9,Ireland
"9 Jun
,0
,0
,1
,1
,0
,4
,2
,0
,2
,1
,0
,0
,0
,0
,0
,0
,0
,3
,1
,2
,0
,1
,0
,0
,0
,0
,
,
",9,Ireland
"10 Jun
,0
,1
,0
,1
,-1
,5
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,1
,0
,0
,0
,-1
,0
,0
,
,
",19,Ireland
"11 Jun
,0
,1
,0
,0
,1
,7
,0
,0
,0
,0
,2
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",8,Ireland
"12 Jun
,3
,0
,0
,0
,0
,31
,1
,0
,6
,2
,0
,0
,0
,0
,0
,1
,0
,1
,0
,1
,0
,0
,0
,0
,0
,0
,
,
",13,Ireland
"13 Jun
,0
,0
,0
,0
,0
,3
,0
,0
,2
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,2
,
,
",46,Ireland
"14 Jun
,0
,-1
,0
,0
,0
,15
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,1
,0
,0
,1
,0
,0
,0
,0
,0
,
,
",8,Ireland
"15 Jun
,0
,0
,0
,2
,0
,7
,0
,0
,1
,2
,0
,0
,-1
,0
,0
,0
,1
,0
,0
,1
,0
,0
,0
,0
,0
,0
,
,
",18,Ireland
"16 Jun
,0
,1
,0
,0
,0
,4
,-1
,0
,1
,0
,0
,0
,-1
,0
,0
,-1
,0
,0
,1
,1
,0
,0
,1
,0
,0
,0
,
,
",14,Ireland
"17 Jun
,2
,0
,0
,0
,0
,9
,0
,1
,3
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",8,Ireland
"18 Jun
,0
,0
,0
,0
,-6
,9
,0
,1
,0
,2
,0
,-6
,0
,0
,1
,0
,0
,0
,0
,0
,-4
,0
,0
,0
,0
,0
,
,
",16,Ireland
"19 Jun
,1
,2
,0
,0
,0
,6
,0
,0
,4
,1
,0
,0
,0
,0
,1
,1
,1
,0
,1
,0
,0
,0
,0
,2
,0
,1
,
,
",13,Ireland
"20 Jun
,0
,0
,0
,0
,0
,4
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,
,
",22,Ireland
"21 Jun
,1
,-1
,0
,0
,0
,-29
,0
,0
,24
,-1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,7
,
,
",6,Ireland
"22 Jun
,0
,0
,0
,0
,0
,-20
,0
,0
,9
,1
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,2
,1
,0
,0
,16
,
,
",4,Ireland
"23 Jun
,0
,1
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,-1
,0
,1
,0
,0
,0
,0
,0
,0
,1
,0
,
,
",10,Ireland
"24 Jun
,0
,0
,0
,0
,0
,8
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",5,Ireland
"27 Jun
,0
,0
,0
,1
,0
,19
,0
,0
,3
,1
,0
,0
,0
,1
,1
,0
,0
,1
,0
,0
,3
,0
,1
,0
,0
,4
,
,
",23,Ireland
