dateRep,cases,deaths,country,median_age,gdp_per_capita,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,testing_rate,positivity_rate,Population
01/05/2020,237,20,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
30/04/2020,422,28,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
29/04/2020,316,34,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
28/04/2020,285,27,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
27/04/2020,344,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
26/04/2020,381,30,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
25/04/2020,381,40,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
24/04/2020,342,28,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
23/04/2020,313,25,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
22/04/2020,263,21,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
21/04/2020,306,20,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
20/04/2020,545,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
19/04/2020,363,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
18/04/2020,461,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
17/04/2020,336,28,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
16/04/2020,380,23,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
15/04/2020,268,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
14/04/2020,260,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/04/2020,318,24,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/04/2020,401,27,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
11/04/2020,380,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/04/2020,370,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/04/2020,357,30,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/04/2020,435,22,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/04/2020,311,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
06/04/2020,475,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
05/04/2020,244,8,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/04/2020,437,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
03/04/2020,392,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
02/04/2020,243,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
01/04/2020,256,2,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
31/03/2020,193,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
30/03/2020,224,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
29/03/2020,249,2,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
28/03/2020,168,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
27/03/2020,170,2,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
26/03/2020,150,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
25/03/2020,152,2,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
24/03/2020,115,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
23/03/2020,98,2,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
22/03/2020,111,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
21/03/2020,70,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
20/03/2020,68,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
19/03/2020,49,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
18/03/2020,61,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
17/03/2020,52,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
16/03/2020,21,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
15/03/2020,36,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
14/03/2020,19,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/03/2020,18,1,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/03/2020,9,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
11/03/2020,5,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/03/2020,6,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/03/2020,5,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/03/2020,1,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/03/2020,4,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/03/2020,1,0,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/10/2020,617,4,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
09/10/2020,502,1,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
08/10/2020,609,5,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
07/10/2020,424,1,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
06/10/2020,519,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
05/10/2020,364,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
04/10/2020,605,9,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
03/10/2020,466,-5,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
02/10/2020,442,2,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
01/10/2020,415,1,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
30/09/2020,362,1,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
29/09/2020,388,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
28/09/2020,430,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
27/09/2020,245,5,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
26/09/2020,321,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
25/09/2020,319,3,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
24/09/2020,231,2,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
23/09/2020,323,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
22/09/2020,188,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
21/09/2020,395,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
20/09/2020,267,0,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
19/09/2020,248,3,Ireland,38.7,67335.293,3.28,,2.96,82.3,1839.204444,3.445714476,4941444.0
